rumor,truth,published_date,origin,url,truth_summary,rumor_province,rumor_city,category
上海发生持刀伤人事件,近日，有网民声称“虹口足球场8月24日举办活动时发生持刀伤人案件”。经上海公安部门核查，当日活动现场未发生此类案件，该信息系谣言。目前，警方正在追查造谣人员，并将严格依法予以处罚。,2024/8/26,东方网,https://www.piyao.org.cn/20240826/b3ca685b5f2e4e268dd613aa8e6c6eff/c.html,上海虹口足球场活动无持刀伤人事件，系谣言，造谣者将被查处。,上海,无,突发事件
吃玉米能降血糖,这种说法过于草率。一方面，玉米本身含不少营养，还含有不少膳食纤维，加上升糖指数是中等水平，确实能作为健康饮食的一部分，可以替代一部分米面主食。但另一方面，玉米本身就含有大量碳水化合物，消化过程中会转化为葡萄糖，这仍会影响血糖水平，还有些甜玉米专门就是为了提高含糖量培育的，如果吃的比较多，对血糖的影响不小。而有些朋友喜欢将玉米榨汁饮用，玉米汁的升糖指数比玉米更高，对血糖的影响更大。因此，我们不能简单地认为吃玉米就能降血糖。,2024/8/26,科学辟谣平台,https://www.piyao.org.cn/20240826/b3ca685b5f2e4e268dd613aa8e6c6eff/c.html,玉米有益但过量影响血糖，应适量食用。,无,无,食药卫生
重庆彭水突发森林火灾,8月21日，某网民发布视频并配文“彭水保家突发森林火灾”，引发关注。经属地网信部门核实，重庆彭水近期未发生此类事件，网传信息系谣言。目前，谣言线索已转交相关部门对造谣者进行进一步调查处置。,2024/8/23,重庆辟谣,https://www.piyao.org.cn/20240823/e4506d6010584bfba14e70b4dbc44335/c.html,网民发布彭水森林火灾谣言，已被证实为假，造谣者将受调查。,重庆,无,突发事件
喝红酒能软化血管,有说法称“红酒中富含白藜芦醇、花青素、单宁等抗氧化剂，所以喝红酒可以软化血管”，但其实这是不对的。离开剂量谈作用是不科学的，这些物质对于降血脂有一定作用，但前提是摄入量要足够，红酒中所含的这些营养素少之又少，想靠每天喝杯红酒来保护血管，避免硬化，根本达不到目的。另外，多项研究已经证实，酒精与心血管疾病、癌症等多个疾病有直接关联，摄入酒精无论多少对人体都是有害的。,2024/8/23,科学辟谣,https://www.piyao.org.cn/20240823/e4506d6010584bfba14e70b4dbc44335/c.html,红酒抗氧化剂少，无法软化血管，过量饮酒有害健康。,无,无,科学常识
重庆市丰都县一工地有工人中暑身亡,近日，重庆市丰都县网民余某某发布某工地的视频并配文“黑心老板，中午不让员工休息，中暑两个，死了一个”。经当地网信部门核实，该工地近期并未发生此类事件，网传信息系谣言。目前，丰都县警方已依法对余某某予以行政处罚。,2024/8/22,重庆辟谣,https://www.piyao.org.cn/20240822/a6d6b44305614fb68531d023fc828868/c.html,重庆网民余某某因发布工地谣言被处罚。,重庆,无,突发事件
跷二郎腿就会导致静脉曲张,下肢静脉曲张多与遗传、肥胖、年龄有关，现在没有研究证明跷二郎腿会直接导致下肢静脉曲张。但跷二郎腿可能会对血液循环产生一定的影响，会使下肢静脉受到压迫，导致静脉回流更加不畅，尤其对已经有静脉曲张的人来说，会进一步加重静脉曲张的症状。此外，跷二郎腿会使骨盆倾斜，腰椎受压不均，久而久之导致脊柱侧弯。跷二郎腿会让内侧间室长时间受压，导致软骨受损，增加发生骨性关节炎的风险等。为了预防静脉曲张的发生，我们应保持健康的生活方式和良好的坐姿习惯，无论是原地站立或坐着，都应避免长时间保持同一姿势，应适时变换姿势以促进下肢血液循环。,2024/8/22,科学辟谣,https://www.piyao.org.cn/20240822/a6d6b44305614fb68531d023fc828868/c.html,遗传、肥胖、年龄相关，跷二郎腿不利静脉曲张，影响血液循环，加重症状，致脊柱侧弯，增加关节炎风险。,无,无,科学常识
四川凉山木里突发森林大火,近日，有网民在短视频平台上发布视频，并配以“四川凉山木里突发森林大火，四川森林消防总队紧急出动42辆消防车，400余名消防指战员奔赴现场”的文字。当地网信部门联动应急管理局进行查核，证实四川凉山木里近日未发生森林大火。,2024/8/21,四川互联网举报辟谣平台,https://www.piyao.org.cn/20240821/64bcc5644a35439a85ade5083e89cf99/c.html,虚假信息传播，四川凉山未发生森林大火。,四川,无,突发事件
夜尿频多，就是肾不好,并非如此。导致夜尿增多的因素有很多，主要有两种情况：生理性和病理性。首先，从生理角度来看，睡前水分摄入过多，如喝大量水、饮料、啤酒，都可能会出现夜尿次数增多、尿量增多的情况。精神紧张或压力增加，也可能出现夜尿增多。此外，夜尿增多是老年人常见的问题之一，其发生率会随着年龄增加而增高，尤其年过70，有超过一半的人会出现夜尿增多的问题。但这不一定是肾脏出现了问题，与年龄相关的生理结构、激素、组织学改变是老年人出现夜尿增多的重要因素。其次，病理因素也是导致夜尿增多的重要原因，如糖尿病、尿路感染都会引起尿量增多，导致夜尿频次增多。所以，夜尿频多可能与肾脏疾病有关，但并不能单凭这一症状就断定是肾脏不好，肾脏疾病的诊断需要综合考虑多个方面的因素。,2024/8/21,“科学辟谣”微信公众号,https://www.piyao.org.cn/20240821/64bcc5644a35439a85ade5083e89cf99/c.html,夜尿增多由生理、病理因素引起，非肾病唯一表现。,无,无,其它
青岛崂山水库污染严重，鱼类漂浮成灾,崂山水库是青岛市重要水源地。近期，有网民在短视频平台发布视频称，“崂山水库旁白沙河鱼在岸边泛滥成灾了”，视频中水质浑浊，不少死鱼漂浮在水面，引发关注。对此，青岛市生态环境局崂山分局执法人员会同崂山水库管理处和属地街道对崂山水库周边地区进行排查，通过当地居民辨认，确定视频中相关建筑和周边植被生长情况不在崂山区。日前，青岛崂山警方已将犯罪嫌疑人霍某等4人先后抓获。经查，霍某为博取眼球、吸引流量，使用不明地点水污染视频，通过“移花接木”手段虚构事实，编造了“青岛崂山水库被严重污染”的网络谣言。,2024/8/20,山东互联网联合辟谣平台,https://www.piyao.org.cn/20240820/95c528ef2eb8451b9b3bb7879f80df5e/c.html,青岛崂山水库疑被污染，系谣言制造者博流量被抓。,山东,青岛,突发事件
运动后半小时内吃东西会变胖,此说法不准确。事实上，运动后半小时内是能量补给的最佳时机。此时身体处于能量亏损状态，摄入的食物很快会被身体吸收利用，而不是转化成脂肪。而且，如果不吃东西，人体就没有原材料用于合成肌肉、骨骼等，不利于身体健康。在运动后半小时内，人体可以适当摄入蛋白质、糖类、纤维素，如水果、鸡蛋、瘦肉、牛奶等，也可以适量食用一些坚果，但不能放开了吃，摄入量要与自己的体能消耗量相适应。建议在有氧运动后，适当增加简单的碳水化合物和少量蛋白质；力量训练后，适当增加蛋白质和碳水化合物的摄入。此外，在大量出汗后，还要适当补充电解质和微量元素。,2024/8/20,“健康中国”微信公众号,https://www.piyao.org.cn/20240820/95c528ef2eb8451b9b3bb7879f80df5e/c.html,运动后半小时内最佳补给：蛋白、糖、纤维适量，注意与消耗匹配。,无,无,食药卫生
湖南博物院的辛追夫人曲裾式素纱单衣被盗,今年是长沙马王堆汉墓考古发掘50周年，湖南博物院特别推出“彼美人兮——两汉罗马时期女性文物展”，其中一件展品——辛追夫人的曲裾式素纱单衣引发部分网友的疑惑：“这件衣服不是被盗、被毁了吗？”“是真品吗？还是复制品？”对此，湖南博物院辟谣称，辛追夫人曲裾式素纱单衣从未被盗，一直都在文物库房精心保存。事实上，辛追夫人共有两件素纱单衣出土，一件是直裾式素纱单衣，49克，另一件是曲裾式素纱单衣，48克，更轻更大。此次是曲裾式素纱单衣自出土以来的首次展出。据马王堆汉墓文物部门介绍，曾经被盗的是直裾式素纱单衣，追回后也不断在展出。曲裾式素纱单衣则一直完好保存在库房。,2024/8/19,“湖南省互联网举报中心”微信公众号,https://www.piyao.org.cn/20240819/e5dc0eeb1cd3459baba2ba71ca6903de/c.html,长沙马王堆汉墓50周年展，真品曲裾式素纱单衣首展，曾被盗直裾式已追回。,湖南,无,党史国史
重庆某工厂煤气泄漏引发剧烈爆炸,近日，某网民发布视频并配文称“中国重庆某工厂煤气泄漏剧烈爆炸”，视频画面显示，事故现场冒出巨大火球和滚滚浓烟，引发关注。经向重庆市应急管理局核实，重庆近期未发生此类事件，网传信息系谣言。,2024/8/16,重庆辟谣,https://www.piyao.org.cn/20240816/843a2fa89eda42c5aeadff863e87e422/c.html,重庆无此工厂爆炸事件，为谣言。,重庆,无,突发事件
湖南长沙一辆大巴车坠崖51人丧命,近日，某网络平台出现一则“湖南长沙，一辆大巴坠崖，51人全部葬命”的视频信息。经多方核实，长沙未发生此类事件，系谣言信息。网信部门已将谣言线索移交公安机关，将依法依规进行处理。,2024/8/16,湖南省互联网举报中心,https://www.piyao.org.cn/20240816/843a2fa89eda42c5aeadff863e87e422/c.html,长沙未发生大巴坠崖事件，官方已处理谣言,湖南,长沙,突发事件
经常张口呼吸会变丑，用“闭嘴贴”就有用,不要这么做。通常只有孩子长期口呼吸，才可能导致面部发育问题，况且这种情况也并不常见。而且，口呼吸只是表面现象，深层次原因往往是人鼻腔呼吸受阻，如果只是简单粗暴地使用所谓的“闭嘴贴”，却没有解决呼吸受阻的问题，则可能导致使用者睡眠质量降低，或让其出现缺氧、呼吸暂停甚至窒息等问题。因此，如果怀疑自己或孩子有口呼吸现象时，应第一时间去专业医院检查确认，再根据病因以及所处的生长发育阶段、面部发育受影响的情况，遵循医生指导进行有针对性的诊疗。,2024/8/16,科学辟谣,https://www.piyao.org.cn/20240816/843a2fa89eda42c5aeadff863e87e422/c.html,口呼吸疑虑应专业检查，对因治疗。,无,无,科学常识
重庆梁平有人在洪水中吃酒席,近日，有网民发布一段涨洪水的视频，配文称“同事生4胎喊我来吃酒，随了200块半天不上菜”，并在评论区称事发地在重庆市梁平区，引发关注。经警方核实，该网民发布的视频及文字均为捏造的谣言信息，系梁平区网民黎某为博取关注、吸引流量，将发生在外地的洪水视频“移花接木”，编造梁平发生“涨洪水吃酒席，随礼不上菜”谣言，扰乱社会秩序。目前，梁平警方已依法对黎某予以行政处罚。,2024/8/15,“重庆辟谣”微信公众号,https://www.piyao.org.cn/20240815/145fd3a3e7bf478a9edcfa11d72c34f5/c.html,重庆网民黎某制造洪水吃酒席谣言，被处罚。,重庆,无,突发事件
内蒙古包头一地收取中介费可申请公租房,近期，有不法分子声称可“收取中介费办理青山区公租房事宜”。对此，内蒙古包头市青山区住房和城乡建设局发布声明称，该信息属于诈骗信息。同时提醒广大网民，请务必按照官方发布的《青山区公共租赁住房申请受理的通告》中的申请条件和申请流程申请公共租赁住房，任何非官方渠道获取公共租赁住房的信息均为虚假信息，谨防上当受骗。,2024/8/15,内蒙古互联网举报中心、“包头发布”微信公众号,https://www.piyao.org.cn/20240815/145fd3a3e7bf478a9edcfa11d72c34f5/c.html,包头市青山区住建局辟谣中介办公租房，提醒民众警惕诈骗。,内蒙古,无,公共政策
